matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!

RESULTS:

Dimensions: (16,16,16        ) 	Method: Numpy            	Elapsed time:     1.026275 seconds.
Dimensions: (16,16,16        ) 	Method: JitNumpy         	Elapsed time:     4.362976 seconds.


Dimensions: (32,32,32        ) 	Method: Numpy            	Elapsed time:     0.000016 seconds.
Dimensions: (32,32,32        ) 	Method: JitNumpy         	Elapsed time:     0.000010 seconds.


Dimensions: (64,64,64        ) 	Method: Numpy            	Elapsed time:     0.000017 seconds.
Dimensions: (64,64,64        ) 	Method: JitNumpy         	Elapsed time:     0.000014 seconds.


Dimensions: (128,128,128     ) 	Method: Numpy            	Elapsed time:     0.000819 seconds.
Dimensions: (128,128,128     ) 	Method: JitNumpy         	Elapsed time:     0.000086 seconds.


Dimensions: (256,256,256     ) 	Method: Numpy            	Elapsed time:     0.001194 seconds.
Dimensions: (256,256,256     ) 	Method: JitNumpy         	Elapsed time:     0.000540 seconds.


Dimensions: (512,512,512     ) 	Method: Numpy            	Elapsed time:     0.006379 seconds.
Dimensions: (512,512,512     ) 	Method: JitNumpy         	Elapsed time:     0.004237 seconds.


Dimensions: (1024,1024,1024  ) 	Method: Numpy            	Elapsed time:     0.029312 seconds.
Dimensions: (1024,1024,1024  ) 	Method: JitNumpy         	Elapsed time:     0.029847 seconds.


Dimensions: (2048,2048,2048  ) 	Method: Numpy            	Elapsed time:     0.232343 seconds.
Dimensions: (2048,2048,2048  ) 	Method: JitNumpy         	Elapsed time:     0.226559 seconds.


Dimensions: (2560,2560,2560  ) 	Method: Numpy            	Elapsed time:     0.435766 seconds.
Dimensions: (2560,2560,2560  ) 	Method: JitNumpy         	Elapsed time:     0.422767 seconds.


Dimensions: (3072,3072,3072  ) 	Method: Numpy            	Elapsed time:     0.755726 seconds.
Dimensions: (3072,3072,3072  ) 	Method: JitNumpy         	Elapsed time:     0.744010 seconds.


Dimensions: (3584,3548,3548  ) 	Method: Numpy            	Elapsed time:     1.139029 seconds.
Dimensions: (3584,3548,3548  ) 	Method: JitNumpy         	Elapsed time:     1.117927 seconds.


Dimensions: (4096,4096,4096  ) 	Method: Numpy            	Elapsed time:     1.790678 seconds.
Dimensions: (4096,4096,4096  ) 	Method: JitNumpy         	Elapsed time:     1.772798 seconds.
Done.
