matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!

RESULTS:

Dimensions: (128,128,128     ) 	Method: Numpy            	Elapsed time:     0.599961 seconds.
Dimensions: (128,128,128     ) 	Method: JitNumpy         	Elapsed time:     3.071888 seconds.

Dimensions: (192,192,192     ) 	Method: Numpy            	Elapsed time:     0.001091 seconds.
Dimensions: (192,192,192     ) 	Method: JitNumpy         	Elapsed time:     0.000239 seconds.

Dimensions: (256,256,256     ) 	Method: Numpy            	Elapsed time:     0.001152 seconds.
Dimensions: (256,256,256     ) 	Method: JitNumpy         	Elapsed time:     0.000535 seconds.

Dimensions: (320,320,320     ) 	Method: Numpy            	Elapsed time:     0.001153 seconds.
Dimensions: (320,320,320     ) 	Method: JitNumpy         	Elapsed time:     0.001033 seconds.

Dimensions: (384,384,384     ) 	Method: Numpy            	Elapsed time:     0.002404 seconds.
Dimensions: (384,384,384     ) 	Method: JitNumpy         	Elapsed time:     0.001751 seconds.

Dimensions: (448,448,448     ) 	Method: Numpy            	Elapsed time:     0.003291 seconds.
Dimensions: (448,448,448     ) 	Method: JitNumpy         	Elapsed time:     0.002772 seconds.

Dimensions: (512,512,512     ) 	Method: Numpy            	Elapsed time:     0.004834 seconds.
Dimensions: (512,512,512     ) 	Method: JitNumpy         	Elapsed time:     0.004286 seconds.

Dimensions: (576,576,576     ) 	Method: Numpy            	Elapsed time:     0.006867 seconds.
Dimensions: (576,576,576     ) 	Method: JitNumpy         	Elapsed time:     0.005867 seconds.

Dimensions: (640,640,640     ) 	Method: Numpy            	Elapsed time:     0.008152 seconds.
Dimensions: (640,640,640     ) 	Method: JitNumpy         	Elapsed time:     0.008058 seconds.

Dimensions: (704,704,704     ) 	Method: Numpy            	Elapsed time:     0.010772 seconds.
Dimensions: (704,704,704     ) 	Method: JitNumpy         	Elapsed time:     0.010653 seconds.

Dimensions: (768,768,768     ) 	Method: Numpy            	Elapsed time:     0.014439 seconds.
Dimensions: (768,768,768     ) 	Method: JitNumpy         	Elapsed time:     0.013274 seconds.

Dimensions: (832,832,832     ) 	Method: Numpy            	Elapsed time:     0.015831 seconds.
Dimensions: (832,832,832     ) 	Method: JitNumpy         	Elapsed time:     0.015144 seconds.

Dimensions: (896,896,896     ) 	Method: Numpy            	Elapsed time:     0.018821 seconds.
Dimensions: (896,896,896     ) 	Method: JitNumpy         	Elapsed time:     0.018640 seconds.

Dimensions: (960,960,960     ) 	Method: Numpy            	Elapsed time:     0.022349 seconds.
Dimensions: (960,960,960     ) 	Method: JitNumpy         	Elapsed time:     0.022114 seconds.

Dimensions: (1024,1024,1024  ) 	Method: Numpy            	Elapsed time:     0.029162 seconds.
Dimensions: (1024,1024,1024  ) 	Method: JitNumpy         	Elapsed time:     0.028928 seconds.
Done.
