matmul: Computed C:
[[ 0.16377789]]
Expected C:
[[ 0.16377789]]
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!

RESULTS:

Dimensions: (1,1,1           ) 	Method: Numpy            	Elapsed time:     0.000032 seconds.
Dimensions: (1,1,1           ) 	Method: JitNumpy         	Elapsed time:     3.556655 seconds.

Dimensions: (64,64,64        ) 	Method: Numpy            	Elapsed time:     0.037940 seconds.
Dimensions: (64,64,64        ) 	Method: JitNumpy         	Elapsed time:     0.000048 seconds.

Dimensions: (128,128,128     ) 	Method: Numpy            	Elapsed time:     0.000863 seconds.
Dimensions: (128,128,128     ) 	Method: JitNumpy         	Elapsed time:     0.000142 seconds.

Dimensions: (192,192,192     ) 	Method: Numpy            	Elapsed time:     0.001231 seconds.
Dimensions: (192,192,192     ) 	Method: JitNumpy         	Elapsed time:     0.000259 seconds.

Dimensions: (256,256,256     ) 	Method: Numpy            	Elapsed time:     0.001419 seconds.
Dimensions: (256,256,256     ) 	Method: JitNumpy         	Elapsed time:     0.000531 seconds.

Dimensions: (320,320,320     ) 	Method: Numpy            	Elapsed time:     0.001071 seconds.
Dimensions: (320,320,320     ) 	Method: JitNumpy         	Elapsed time:     0.001022 seconds.

Dimensions: (384,384,384     ) 	Method: Numpy            	Elapsed time:     0.002609 seconds.
Dimensions: (384,384,384     ) 	Method: JitNumpy         	Elapsed time:     0.001678 seconds.

Dimensions: (448,448,448     ) 	Method: Numpy            	Elapsed time:     0.003227 seconds.
Dimensions: (448,448,448     ) 	Method: JitNumpy         	Elapsed time:     0.002615 seconds.

Dimensions: (512,512,512     ) 	Method: Numpy            	Elapsed time:     0.004622 seconds.
Dimensions: (512,512,512     ) 	Method: JitNumpy         	Elapsed time:     0.004036 seconds.

Dimensions: (576,576,576     ) 	Method: Numpy            	Elapsed time:     0.005624 seconds.
Dimensions: (576,576,576     ) 	Method: JitNumpy         	Elapsed time:     0.005511 seconds.

Dimensions: (640,640,640     ) 	Method: Numpy            	Elapsed time:     0.007757 seconds.
Dimensions: (640,640,640     ) 	Method: JitNumpy         	Elapsed time:     0.007622 seconds.

Dimensions: (704,704,704     ) 	Method: Numpy            	Elapsed time:     0.010271 seconds.
Dimensions: (704,704,704     ) 	Method: JitNumpy         	Elapsed time:     0.010107 seconds.

Dimensions: (768,768,768     ) 	Method: Numpy            	Elapsed time:     0.013166 seconds.
Dimensions: (768,768,768     ) 	Method: JitNumpy         	Elapsed time:     0.013018 seconds.

Dimensions: (832,832,832     ) 	Method: Numpy            	Elapsed time:     0.012381 seconds.
Dimensions: (832,832,832     ) 	Method: JitNumpy         	Elapsed time:     0.012235 seconds.

Dimensions: (896,896,896     ) 	Method: Numpy            	Elapsed time:     0.015868 seconds.
Dimensions: (896,896,896     ) 	Method: JitNumpy         	Elapsed time:     0.015072 seconds.

Dimensions: (960,960,960     ) 	Method: Numpy            	Elapsed time:     0.018064 seconds.
Dimensions: (960,960,960     ) 	Method: JitNumpy         	Elapsed time:     0.017962 seconds.
Done.
