matmul: Computed C:
[[ 0.30469537]]
Expected C:
[[ 0.30469537]]
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!

RESULTS:

Dimensions: (1,1,1           ) 	Method: Numpy            	Elapsed time:     0.000023 seconds.
Dimensions: (1,1,1           ) 	Method: JitNumpy         	Elapsed time:     0.798413 seconds.

Dimensions: (64,64,64        ) 	Method: Numpy            	Elapsed time:     0.021649 seconds.
Dimensions: (64,64,64        ) 	Method: JitNumpy         	Elapsed time:     0.000044 seconds.

Dimensions: (128,128,128     ) 	Method: Numpy            	Elapsed time:     0.000763 seconds.
Dimensions: (128,128,128     ) 	Method: JitNumpy         	Elapsed time:     0.000140 seconds.

Dimensions: (192,192,192     ) 	Method: Numpy            	Elapsed time:     0.000764 seconds.
Dimensions: (192,192,192     ) 	Method: JitNumpy         	Elapsed time:     0.000229 seconds.

Dimensions: (256,256,256     ) 	Method: Numpy            	Elapsed time:     0.001103 seconds.
Dimensions: (256,256,256     ) 	Method: JitNumpy         	Elapsed time:     0.000525 seconds.

Dimensions: (320,320,320     ) 	Method: Numpy            	Elapsed time:     0.001061 seconds.
Dimensions: (320,320,320     ) 	Method: JitNumpy         	Elapsed time:     0.001024 seconds.

Dimensions: (384,384,384     ) 	Method: Numpy            	Elapsed time:     0.002277 seconds.
Dimensions: (384,384,384     ) 	Method: JitNumpy         	Elapsed time:     0.001677 seconds.

Dimensions: (448,448,448     ) 	Method: Numpy            	Elapsed time:     0.003126 seconds.
Dimensions: (448,448,448     ) 	Method: JitNumpy         	Elapsed time:     0.002619 seconds.

Dimensions: (512,512,512     ) 	Method: Numpy            	Elapsed time:     0.004540 seconds.
Dimensions: (512,512,512     ) 	Method: JitNumpy         	Elapsed time:     0.004027 seconds.

Dimensions: (576,576,576     ) 	Method: Numpy            	Elapsed time:     0.006155 seconds.
Dimensions: (576,576,576     ) 	Method: JitNumpy         	Elapsed time:     0.005506 seconds.

Dimensions: (640,640,640     ) 	Method: Numpy            	Elapsed time:     0.007743 seconds.
Dimensions: (640,640,640     ) 	Method: JitNumpy         	Elapsed time:     0.007638 seconds.

Dimensions: (704,704,704     ) 	Method: Numpy            	Elapsed time:     0.010009 seconds.
Dimensions: (704,704,704     ) 	Method: JitNumpy         	Elapsed time:     0.009846 seconds.

Dimensions: (768,768,768     ) 	Method: Numpy            	Elapsed time:     0.012762 seconds.
Dimensions: (768,768,768     ) 	Method: JitNumpy         	Elapsed time:     0.012609 seconds.

Dimensions: (832,832,832     ) 	Method: Numpy            	Elapsed time:     0.017082 seconds.
Dimensions: (832,832,832     ) 	Method: JitNumpy         	Elapsed time:     0.017084 seconds.

Dimensions: (896,896,896     ) 	Method: Numpy            	Elapsed time:     0.022275 seconds.
Dimensions: (896,896,896     ) 	Method: JitNumpy         	Elapsed time:     0.021168 seconds.

Dimensions: (960,960,960     ) 	Method: Numpy            	Elapsed time:     0.020699 seconds.
Dimensions: (960,960,960     ) 	Method: JitNumpy         	Elapsed time:     0.018744 seconds.

Dimensions: (1024,1024,1024  ) 	Method: Numpy            	Elapsed time:     0.024700 seconds.
Dimensions: (1024,1024,1024  ) 	Method: JitNumpy         	Elapsed time:     0.024625 seconds.
Done.
