matmul: Computed C:
[[ 0.41765121]]
Expected C:
[[ 0.41765121]]
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!

RESULTS:

Dimensions: (64,64,64        ) 	Method: Numpy            	Elapsed time:     0.002304 seconds.
Dimensions: (64,64,64        ) 	Method: JitNumpy         	Elapsed time:     0.000047 seconds.

Dimensions: (128,128,128     ) 	Method: Numpy            	Elapsed time:     0.000625 seconds.
Dimensions: (128,128,128     ) 	Method: JitNumpy         	Elapsed time:     0.000080 seconds.

Dimensions: (192,192,192     ) 	Method: Numpy            	Elapsed time:     0.000847 seconds.
Dimensions: (192,192,192     ) 	Method: JitNumpy         	Elapsed time:     0.000234 seconds.

Dimensions: (256,256,256     ) 	Method: Numpy            	Elapsed time:     0.001154 seconds.
Dimensions: (256,256,256     ) 	Method: JitNumpy         	Elapsed time:     0.000536 seconds.

Dimensions: (320,320,320     ) 	Method: Numpy            	Elapsed time:     0.001189 seconds.
Dimensions: (320,320,320     ) 	Method: JitNumpy         	Elapsed time:     0.001093 seconds.

Dimensions: (384,384,384     ) 	Method: Numpy            	Elapsed time:     0.002496 seconds.
Dimensions: (384,384,384     ) 	Method: JitNumpy         	Elapsed time:     0.001765 seconds.

Dimensions: (448,448,448     ) 	Method: Numpy            	Elapsed time:     0.003478 seconds.
Dimensions: (448,448,448     ) 	Method: JitNumpy         	Elapsed time:     0.002767 seconds.

Dimensions: (512,512,512     ) 	Method: Numpy            	Elapsed time:     0.004943 seconds.
Dimensions: (512,512,512     ) 	Method: JitNumpy         	Elapsed time:     0.004727 seconds.

Dimensions: (576,576,576     ) 	Method: Numpy            	Elapsed time:     0.006028 seconds.
Dimensions: (576,576,576     ) 	Method: JitNumpy         	Elapsed time:     0.006006 seconds.

Dimensions: (640,640,640     ) 	Method: Numpy            	Elapsed time:     0.008310 seconds.
Dimensions: (640,640,640     ) 	Method: JitNumpy         	Elapsed time:     0.008286 seconds.

Dimensions: (704,704,704     ) 	Method: Numpy            	Elapsed time:     0.011386 seconds.
Dimensions: (704,704,704     ) 	Method: JitNumpy         	Elapsed time:     0.010857 seconds.

Dimensions: (768,768,768     ) 	Method: Numpy            	Elapsed time:     0.014294 seconds.
Dimensions: (768,768,768     ) 	Method: JitNumpy         	Elapsed time:     0.013905 seconds.

Dimensions: (832,832,832     ) 	Method: Numpy            	Elapsed time:     0.018392 seconds.
Dimensions: (832,832,832     ) 	Method: JitNumpy         	Elapsed time:     0.017718 seconds.

Dimensions: (896,896,896     ) 	Method: Numpy            	Elapsed time:     0.020461 seconds.
Dimensions: (896,896,896     ) 	Method: JitNumpy         	Elapsed time:     0.019488 seconds.

Dimensions: (960,960,960     ) 	Method: Numpy            	Elapsed time:     0.023828 seconds.
Dimensions: (960,960,960     ) 	Method: JitNumpy         	Elapsed time:     0.023734 seconds.

Dimensions: (1024,1024,1024  ) 	Method: Numpy            	Elapsed time:     0.029862 seconds.
Dimensions: (1024,1024,1024  ) 	Method: JitNumpy         	Elapsed time:     0.030030 seconds.
Done.
