dim_M,dim_N,dim_K,CudaGlobalMemory_failed (1),CudaGlobalMemory_time (s),CudaSharedMemory_failed (1),CudaSharedMemory_time (s),CupyMatmul_failed (1),CupyMatmul_time (s),CupyDot_failed (1),CupyDot_time (s)
16,16,16,0,0.00048804283142089844,0,0.0003323554992675781,0,0.008264303207397461,0,0.00012421607971191406
32,32,32,0,0.0007028579711914062,0,0.0003657341003417969,0,0.00037598609924316406,0,8.940696716308594e-05
48,48,48,0,0.00044918060302734375,0,0.00035190582275390625,0,0.00017189979553222656,0,7.486343383789062e-05
64,64,64,0,0.0004336833953857422,0,0.00035190582275390625,0,0.000171661376953125,0,8.273124694824219e-05
80,80,80,0,0.0004527568817138672,0,0.00040340423583984375,0,0.00020694732666015625,0,9.012222290039062e-05
96,96,96,0,0.00048351287841796875,0,0.0003807544708251953,0,0.00019097328186035156,0,9.202957153320312e-05
112,112,112,0,0.0005574226379394531,0,0.00040435791015625,0,0.00019121170043945312,0,0.00010156631469726562
128,128,128,0,0.0005557537078857422,0,0.0004146099090576172,0,0.00020074844360351562,0,0.00011014938354492188
144,144,144,0,0.0005528926849365234,0,0.0004169940948486328,0,0.00020766258239746094,0,0.00011682510375976562
160,160,160,0,0.0005590915679931641,0,0.00043082237243652344,0,0.0003170967102050781,0,0.00013399124145507812
176,176,176,0,0.0006244182586669922,0,0.0004220008850097656,0,0.000225067138671875,0,0.00014448165893554688
192,192,192,0,0.0005886554718017578,0,0.0004913806915283203,0,0.00024509429931640625,0,0.000156402587890625
208,208,208,0,0.0007526874542236328,0,0.0004603862762451172,0,0.00026154518127441406,0,0.0001742839813232422
224,224,224,0,0.0008542537689208984,0,0.0004611015319824219,0,0.00026702880859375,0,0.00017952919006347656
240,240,240,0,0.0009164810180664062,0,0.0005013942718505859,0,0.00035452842712402344,0,0.0001976490020751953
256,256,256,0,0.0008854866027832031,0,0.0006508827209472656,0,0.0002999305725097656,0,0.000225067138671875
272,272,272,0,0.0010528564453125,0,0.0005459785461425781,0,0.0009963512420654297,0,0.00024771690368652344
288,288,288,0,0.0011625289916992188,0,0.0005793571472167969,0,0.00033545494079589844,0,0.0002627372741699219
304,304,304,0,0.0011734962463378906,0,0.0005881786346435547,0,0.0004096031188964844,0,0.00028634071350097656
320,320,320,0,0.0013766288757324219,0,0.0007009506225585938,0,0.00039124488830566406,0,0.00032138824462890625
336,336,336,0,0.0014445781707763672,0,0.000690460205078125,0,0.0004458427429199219,0,0.00043511390686035156
352,352,352,0,0.001741170883178711,0,0.0006690025329589844,0,0.0004367828369140625,0,0.0004088878631591797
368,368,368,0,0.0017852783203125,0,0.0008111000061035156,0,0.000978231430053711,0,0.00038504600524902344
384,384,384,0,0.002122163772583008,0,0.0008070468902587891,0,0.00048470497131347656,0,0.0004563331604003906
400,400,400,0,0.002180814743041992,0,0.0008819103240966797,0,0.0006201267242431641,0,0.0005197525024414062
416,416,416,0,0.0024199485778808594,0,0.0008444786071777344,0,0.0005877017974853516,0,0.0004947185516357422
432,432,432,0,0.0025572776794433594,0,0.0013246536254882812,0,0.0005764961242675781,0,0.0005273818969726562
448,448,448,0,0.0029022693634033203,0,0.001062154769897461,0,0.0007317066192626953,0,0.0005753040313720703
464,464,464,0,0.0031380653381347656,0,0.0015017986297607422,0,0.0007393360137939453,0,0.0006351470947265625
480,480,480,0,0.003320932388305664,0,0.001203298568725586,0,0.0007579326629638672,0,0.0006561279296875
496,496,496,0,0.003809213638305664,0,0.0015308856964111328,0,0.0007874965667724609,0,0.0006945133209228516
512,512,512,0,0.0040340423583984375,0,0.0013015270233154297,0,0.0008997917175292969,0,0.00072479248046875
