dim_M,dim_N,dim_K,Numpy_failed (1),Numpy_time (s),CudaGlobalMemory_failed (1),CudaGlobalMemory_time (s),CudaSharedMemory_failed (1),CudaSharedMemory_time (s),CupyMatmul_failed (1),CupyMatmul_time (s),CupyDot_failed (1),CupyDot_time (s)
4,1024,1024,0,0.0003261566162109375,0,0.001348733901977539,0,0.004580497741699219,0,0.009117364883422852,0,0.0006501674652099609
8,1024,1024,0,0.00014090538024902344,0,0.001978158950805664,0,0.004682302474975586,0,0.0007524490356445312,0,0.0006029605865478516
12,1024,1024,0,0.00012636184692382812,0,0.0013277530670166016,0,0.00462031364440918,0,0.0006899833679199219,0,0.0005936622619628906
16,1024,1024,0,0.00010538101196289062,0,0.00185394287109375,0,0.004630327224731445,0,0.0006692409515380859,0,0.00061798095703125
20,1024,1024,0,0.0001304149627685547,0,0.0015740394592285156,0,0.005123138427734375,0,0.0007524490356445312,0,0.0006330013275146484
24,1024,1024,0,0.00013518333435058594,0,0.0017406940460205078,0,0.004654884338378906,0,0.000698089599609375,0,0.0006170272827148438
28,1024,1024,0,0.00018477439880371094,0,0.0019176006317138672,0,0.005207061767578125,0,0.0006935596466064453,0,0.0006351470947265625
32,1024,1024,0,0.0001614093780517578,0,0.0020112991333007812,0,0.004652976989746094,0,0.0006911754608154297,0,0.0006785392761230469
36,1024,1024,0,0.00018858909606933594,0,0.0020575523376464844,0,0.005097150802612305,0,0.0007431507110595703,0,0.0006537437438964844
40,1024,1024,0,0.0001900196075439453,0,0.0021820068359375,0,0.004647731781005859,0,0.0006985664367675781,0,0.000659942626953125
44,1024,1024,0,0.0002167224884033203,0,0.0027484893798828125,0,0.004781246185302734,0,0.0007302761077880859,0,0.0006649494171142578
48,1024,1024,0,0.0002186298370361328,0,0.0022993087768554688,0,0.004648447036743164,0,0.0007073879241943359,0,0.000667572021484375
52,1024,1024,0,0.0002636909484863281,0,0.002935171127319336,0,0.0047283172607421875,0,0.000728607177734375,0,0.0006775856018066406
56,1024,1024,0,0.0002455711364746094,0,0.0024640560150146484,0,0.0047397613525390625,0,0.0007171630859375,0,0.0006766319274902344
60,1024,1024,0,0.0002777576446533203,0,0.0032508373260498047,0,0.004665851593017578,0,0.0007410049438476562,0,0.0006835460662841797
64,1024,1024,0,0.00027108192443847656,0,0.0028352737426757812,0,0.005307912826538086,0,0.0010235309600830078,0,0.0007441043853759766
68,1024,1024,0,0.0003075599670410156,0,0.0028743743896484375,0,0.004720211029052734,0,0.0008096694946289062,0,0.0007617473602294922
72,1024,1024,0,0.0003070831298828125,0,0.0029942989349365234,0,0.005333662033081055,0,0.0008175373077392578,0,0.0007431507110595703
76,1024,1024,0,0.00033664703369140625,0,0.003095865249633789,0,0.004697322845458984,0,0.0008211135864257812,0,0.0007576942443847656
80,1024,1024,0,0.0003387928009033203,0,0.003079652786254883,0,0.00522613525390625,0,0.0008182525634765625,0,0.0008077621459960938
84,1024,1024,0,0.0003650188446044922,0,0.003183603286743164,0,0.004820585250854492,0,0.0008289813995361328,0,0.0008358955383300781
88,1024,1024,0,0.0003590583801269531,0,0.004059314727783203,0,0.004781246185302734,0,0.0008471012115478516,0,0.0007772445678710938
92,1024,1024,0,0.0003962516784667969,0,0.0036427974700927734,0,0.004815816879272461,0,0.0008568763732910156,0,0.0007967948913574219
96,1024,1024,0,0.0004112720489501953,0,0.0043392181396484375,0,0.0047876834869384766,0,0.0008616447448730469,0,0.0008647441864013672
100,1024,1024,0,0.0004169940948486328,0,0.0038063526153564453,0,0.004766941070556641,0,0.0008594989776611328,0,0.0008022785186767578
104,1024,1024,0,0.0004215240478515625,0,0.004327535629272461,0,0.0047779083251953125,0,0.0008904933929443359,0,0.0008285045623779297
108,1024,1024,0,0.0004527568817138672,0,0.0038330554962158203,0,0.005364179611206055,0,0.0008940696716308594,0,0.0009024143218994141
112,1024,1024,0,0.0004436969757080078,0,0.004021883010864258,0,0.0047664642333984375,0,0.0008730888366699219,0,0.0008223056793212891
116,1024,1024,0,0.0004782676696777344,0,0.004049062728881836,0,0.005372762680053711,0,0.0008969306945800781,0,0.0008294582366943359
120,1024,1024,0,0.00048065185546875,0,0.004287004470825195,0,0.0047838687896728516,0,0.0009021759033203125,0,0.0008466243743896484
124,1024,1024,0,0.0005118846893310547,0,0.0045413970947265625,0,0.005270719528198242,0,0.0009000301361083984,0,0.000850677490234375
128,1024,1024,0,0.0005054473876953125,0,0.004502773284912109,0,0.004832744598388672,0,0.0009081363677978516,0,0.0008523464202880859
132,1024,1024,0,0.0005371570587158203,0,0.005461215972900391,0,0.0048220157623291016,0,0.0010056495666503906,0,0.0009245872497558594
136,1024,1024,0,0.0005440711975097656,0,0.004732370376586914,0,0.004816770553588867,0,0.0009908676147460938,0,0.0009381771087646484
140,1024,1024,0,0.0005850791931152344,0,0.0052928924560546875,0,0.0048067569732666016,0,0.0009965896606445312,0,0.0009396076202392578
144,1024,1024,0,0.0005817413330078125,0,0.004719257354736328,0,0.004967927932739258,0,0.0009944438934326172,0,0.0009598731994628906
148,1024,1024,0,0.0006029605865478516,0,0.005523681640625,0,0.004844188690185547,0,0.0010268688201904297,0,0.0009551048278808594
152,1024,1024,0,0.0006024837493896484,0,0.005120038986206055,0,0.005634307861328125,0,0.0010390281677246094,0,0.0009739398956298828
156,1024,1024,0,0.0006227493286132812,0,0.005334615707397461,0,0.004918813705444336,0,0.0010151863098144531,0,0.0009644031524658203
160,1024,1024,0,0.0006263256072998047,0,0.005380153656005859,0,0.005430459976196289,0,0.0010428428649902344,0,0.0009903907775878906
164,1024,1024,0,0.0006794929504394531,0,0.005356788635253906,0,0.004930734634399414,0,0.001026153564453125,0,0.0009813308715820312
168,1024,1024,0,0.0007348060607910156,0,0.005227565765380859,0,0.005522251129150391,0,0.001028299331665039,0,0.0009868144989013672
172,1024,1024,0,0.0008015632629394531,0,0.005341291427612305,0,0.004938840866088867,0,0.0010547637939453125,0,0.0010797977447509766
176,1024,1024,0,0.0008625984191894531,0,0.006356716156005859,0,0.004886150360107422,0,0.0010433197021484375,0,0.0010132789611816406
180,1024,1024,0,0.0009315013885498047,0,0.005777597427368164,0,0.005038738250732422,0,0.001043558120727539,0,0.0010497570037841797
184,1024,1024,0,0.0009682178497314453,0,0.006663322448730469,0,0.004859209060668945,0,0.0010781288146972656,0,0.0010287761688232422
188,1024,1024,0,0.0010361671447753906,0,0.006071329116821289,0,0.00500798225402832,0,0.0010821819305419922,0,0.0010404586791992188
192,1024,1024,0,0.0010840892791748047,0,0.006764650344848633,0,0.004996299743652344,0,0.0010859966278076172,0,0.0010418891906738281
196,1024,1024,0,0.001140594482421875,0,0.006081819534301758,0,0.005879640579223633,0,0.001088857650756836,0,0.0010325908660888672
200,1024,1024,0,0.0011913776397705078,0,0.0060575008392333984,0,0.005044698715209961,0,0.0011110305786132812,0,0.0010623931884765625
204,1024,1024,0,0.0012066364288330078,0,0.0063610076904296875,0,0.005667924880981445,0,0.0011279582977294922,0,0.0010609626770019531
208,1024,1024,0,0.0011932849884033203,0,0.00626683235168457,0,0.005029916763305664,0,0.0011124610900878906,0,0.0010666847229003906
212,1024,1024,0,0.0012018680572509766,0,0.0066258907318115234,0,0.005750894546508789,0,0.0011119842529296875,0,0.0010573863983154297
216,1024,1024,0,0.0012087821960449219,0,0.00669407844543457,0,0.0050318241119384766,0,0.0011065006256103516,0,0.0010671615600585938
220,1024,1024,0,0.0041010379791259766,0,0.008013248443603516,0,0.005089521408081055,0,0.0012030601501464844,0,0.0011057853698730469
224,1024,1024,0,0.001216888427734375,0,0.007010221481323242,0,0.005099773406982422,0,0.001140594482421875,0,0.001085519790649414
228,1024,1024,0,0.0012118816375732422,0,0.0077381134033203125,0,0.004983425140380859,0,0.001173257827758789,0,0.0011126995086669922
232,1024,1024,0,0.0012400150299072266,0,0.006960630416870117,0,0.005047321319580078,0,0.0012004375457763672,0,0.0011374950408935547
236,1024,1024,0,0.001224517822265625,0,0.00782155990600586,0,0.005015134811401367,0,0.0011792182922363281,0,0.0011038780212402344
240,1024,1024,0,0.0012102127075195312,0,0.007193565368652344,0,0.005874156951904297,0,0.0012063980102539062,0,0.0011336803436279297
244,1024,1024,0,0.0012912750244140625,0,0.007448434829711914,0,0.005047798156738281,0,0.0012488365173339844,0,0.0011277198791503906
248,1024,1024,0,0.001332998275756836,0,0.00762176513671875,0,0.005830049514770508,0,0.0011954307556152344,0,0.00112152099609375
252,1024,1024,0,0.001373291015625,0,0.007531881332397461,0,0.005086421966552734,0,0.0011894702911376953,0,0.0011336803436279297
256,1024,1024,0,0.0014481544494628906,0,0.007673978805541992,0,0.005769968032836914,0,0.0012280941009521484,0,0.0011510848999023438
260,1024,1024,0,0.0015158653259277344,0,0.007651805877685547,0,0.00516510009765625,0,0.002052783966064453,0,0.001302480697631836
264,1024,1024,0,0.0015513896942138672,0,0.008942365646362305,0,0.005105495452880859,0,0.0012869834899902344,0,0.0012104511260986328
268,1024,1024,0,0.0016140937805175781,0,0.008016109466552734,0,0.005183696746826172,0,0.0012965202331542969,0,0.0012197494506835938
272,1024,1024,0,0.0016481876373291016,0,0.009480714797973633,0,0.005158662796020508,0,0.0013148784637451172,0,0.001230001449584961
276,1024,1024,0,0.0017404556274414062,0,0.00835871696472168,0,0.005162954330444336,0,0.0013079643249511719,0,0.0012383460998535156
280,1024,1024,0,0.0017917156219482422,0,0.009367942810058594,0,0.005133152008056641,0,0.0013129711151123047,0,0.0012421607971191406
284,1024,1024,0,0.0017039775848388672,0,0.008555173873901367,0,0.006227970123291016,0,0.001367330551147461,0,0.0012345314025878906
288,1024,1024,0,0.0015866756439208984,0,0.008379220962524414,0,0.005217075347900391,0,0.00133514404296875,0,0.001260995864868164
292,1024,1024,0,0.001537322998046875,0,0.008533716201782227,0,0.006203889846801758,0,0.0013418197631835938,0,0.0012633800506591797
296,1024,1024,0,0.0014369487762451172,0,0.008663177490234375,0,0.005227804183959961,0,0.0013246536254882812,0,0.0012459754943847656
300,1024,1024,0,0.0013663768768310547,0,0.009141921997070312,0,0.006213665008544922,0,0.0014007091522216797,0,0.001279592514038086
304,1024,1024,0,0.0012624263763427734,0,0.008929252624511719,0,0.0052454471588134766,0,0.0013196468353271484,0,0.0012407302856445312
308,1024,1024,0,0.0011756420135498047,0,0.01012420654296875,0,0.005240440368652344,0,0.0013620853424072266,0,0.0013287067413330078
312,1024,1024,0,0.0010988712310791016,0,0.00921320915222168,0,0.005233287811279297,0,0.0013434886932373047,0,0.001260995864868164
316,1024,1024,0,0.0010197162628173828,0,0.010316133499145508,0,0.005190849304199219,0,0.0013823509216308594,0,0.0012998580932617188
320,1024,1024,0,0.0009272098541259766,0,0.00942230224609375,0,0.005260944366455078,0,0.0014448165893554688,0,0.0013108253479003906
324,1024,1024,0,0.0009837150573730469,0,0.010517120361328125,0,0.005188941955566406,0,0.0014495849609375,0,0.0013077259063720703
328,1024,1024,0,0.0010309219360351562,0,0.009705066680908203,0,0.0063703060150146484,0,0.0014901161193847656,0,0.0013546943664550781
332,1024,1024,0,0.0011093616485595703,0,0.009692668914794922,0,0.005312204360961914,0,0.0015213489532470703,0,0.0013773441314697266
336,1024,1024,0,0.0011439323425292969,0,0.009936094284057617,0,0.006288290023803711,0,0.0014123916625976562,0,0.0013301372528076172
340,1024,1024,0,0.0012295246124267578,0,0.009980201721191406,0,0.005358219146728516,0,0.0013973712921142578,0,0.0013217926025390625
344,1024,1024,0,0.0012674331665039062,0,0.009963512420654297,0,0.006357669830322266,0,0.0014896392822265625,0,0.0013689994812011719
348,1024,1024,0,0.0013227462768554688,0,0.009925365447998047,0,0.005312681198120117,0,0.0014071464538574219,0,0.0013165473937988281
352,1024,1024,0,0.0013701915740966797,0,0.011284589767456055,0,0.0053119659423828125,0,0.0014824867248535156,0,0.001401662826538086
356,1024,1024,0,0.0014653205871582031,0,0.010291337966918945,0,0.005318641662597656,0,0.0014510154724121094,0,0.001369476318359375
360,1024,1024,0,0.0015552043914794922,0,0.011607170104980469,0,0.005367279052734375,0,0.0013492107391357422,0,0.0012629032135009766
364,1024,1024,0,0.0015888214111328125,0,0.010669231414794922,0,0.005404472351074219,0,0.0013077259063720703,0,0.0012285709381103516
368,1024,1024,0,0.0015921592712402344,0,0.011679649353027344,0,0.0053348541259765625,0,0.0013270378112792969,0,0.0012543201446533203
372,1024,1024,0,0.0016188621520996094,0,0.010702848434448242,0,0.006443023681640625,0,0.0013306140899658203,0,0.0012807846069335938
376,1024,1024,0,0.0015697479248046875,0,0.010727405548095703,0,0.005401134490966797,0,0.0013630390167236328,0,0.0012836456298828125
380,1024,1024,0,0.0016198158264160156,0,0.010832786560058594,0,0.006419658660888672,0,0.0013914108276367188,0,0.0012936592102050781
384,1024,1024,0,0.0015652179718017578,0,0.010875463485717773,0,0.005425453186035156,0,0.0013782978057861328,0,0.0012979507446289062
388,1024,1024,0,0.0016298294067382812,0,0.011234283447265625,0,0.006455659866333008,0,0.001436471939086914,0,0.0014009475708007812
392,1024,1024,0,0.0016078948974609375,0,0.01125955581665039,0,0.005435466766357422,0,0.0014848709106445312,0,0.0013499259948730469
396,1024,1024,0,0.0016055107116699219,0,0.012485742568969727,0,0.005375862121582031,0,0.0014276504516601562,0,0.0013496875762939453
400,1024,1024,0,0.0016014575958251953,0,0.011532783508300781,0,0.005536317825317383,0,0.0014710426330566406,0,0.0014162063598632812
404,1024,1024,0,0.0016827583312988281,0,0.012489557266235352,0,0.00540924072265625,0,0.001474618911743164,0,0.0014104843139648438
408,1024,1024,0,0.001708984375,0,0.011621952056884766,0,0.005563497543334961,0,0.0015285015106201172,0,0.001397848129272461
412,1024,1024,0,0.0018143653869628906,0,0.012708902359008789,0,0.005469560623168945,0,0.001466989517211914,0,0.0013701915740966797
416,1024,1024,0,0.0018508434295654297,0,0.011724233627319336,0,0.006571292877197266,0,0.0015139579772949219,0,0.0013909339904785156
420,1024,1024,0,0.0019237995147705078,0,0.011951208114624023,0,0.005490779876708984,0,0.0014562606811523438,0,0.0014081001281738281
424,1024,1024,0,0.0019371509552001953,0,0.012158870697021484,0,0.006540775299072266,0,0.0015137195587158203,0,0.0014531612396240234
428,1024,1024,0,0.0020258426666259766,0,0.012109994888305664,0,0.005568504333496094,0,0.0015115737915039062,0,0.001415252685546875
432,1024,1024,0,0.002054452896118164,0,0.012306690216064453,0,0.006520271301269531,0,0.001506805419921875,0,0.0014066696166992188
436,1024,1024,0,0.0021800994873046875,0,0.012257575988769531,0,0.00558018684387207,0,0.0014939308166503906,0,0.0014045238494873047
440,1024,1024,0,0.0022149085998535156,0,0.013464689254760742,0,0.005464315414428711,0,0.0015015602111816406,0,0.0014486312866210938
444,1024,1024,0,0.002090930938720703,0,0.012384414672851562,0,0.005533695220947266,0,0.0014946460723876953,0,0.001474142074584961
448,1024,1024,0,0.0020236968994140625,0,0.013661384582519531,0,0.005591869354248047,0,0.001566171646118164,0,0.0014808177947998047
452,1024,1024,0,0.002003908157348633,0,0.01272892951965332,0,0.005590915679931641,0,0.0016257762908935547,0,0.0014879703521728516
456,1024,1024,0,0.0018768310546875,0,0.01396489143371582,0,0.005631923675537109,0,0.0015883445739746094,0,0.0014524459838867188
460,1024,1024,0,0.0018606185913085938,0,0.013068437576293945,0,0.006715059280395508,0,0.0015573501586914062,0,0.0014257431030273438
464,1024,1024,0,0.0017771720886230469,0,0.013069391250610352,0,0.0055997371673583984,0,0.0015649795532226562,0,0.001550436019897461
468,1024,1024,0,0.001714468002319336,0,0.013112306594848633,0,0.006662130355834961,0,0.0015873908996582031,0,0.0014445781707763672
472,1024,1024,0,0.0016064643859863281,0,0.013192415237426758,0,0.005584716796875,0,0.0015978813171386719,0,0.0014944076538085938
476,1024,1024,0,0.001580953598022461,0,0.01337289810180664,0,0.006665229797363281,0,0.001592874526977539,0,0.0014984607696533203
480,1024,1024,0,0.0014905929565429688,0,0.013428926467895508,0,0.00568842887878418,0,0.0016560554504394531,0,0.0015022754669189453
484,1024,1024,0,0.0015747547149658203,0,0.014833688735961914,0,0.005728721618652344,0,0.0016443729400634766,0,0.0015254020690917969
488,1024,1024,0,0.0016200542449951172,0,0.013744354248046875,0,0.005565166473388672,0,0.0015633106231689453,0,0.0015370845794677734
492,1024,1024,0,0.0016243457794189453,0,0.014841556549072266,0,0.0056171417236328125,0,0.0015730857849121094,0,0.0014901161193847656
