dim_M,dim_N,dim_K,Numpy_failed (1),Numpy_time (s),CudaGlobalMemory_failed (1),CudaGlobalMemory_time (s),CudaSharedMemory_failed (1),CudaSharedMemory_time (s),CupyMatmul_failed (1),CupyMatmul_time (s),CupyDot_failed (1),CupyDot_time (s)
4,4,4,0,1.0967254638671875e-05,0,0.0008292198181152344,0,0.0003864765167236328,0,0.0001990795135498047,0,8.535385131835938e-05
8,8,8,0,3.5762786865234375e-06,0,0.00040721893310546875,0,0.00037670135498046875,0,0.00015997886657714844,0,7.271766662597656e-05
12,12,12,0,3.337860107421875e-06,0,0.0004248619079589844,0,0.0003478527069091797,0,0.0001742839813232422,0,7.915496826171875e-05
16,16,16,0,3.337860107421875e-06,0,0.0003826618194580078,0,0.00033593177795410156,0,0.0001614093780517578,0,7.915496826171875e-05
20,20,20,0,3.337860107421875e-06,0,0.00048828125,0,0.00037384033203125,0,0.00019621849060058594,0,7.939338684082031e-05
24,24,24,0,3.337860107421875e-06,0,0.0003952980041503906,0,0.0003681182861328125,0,0.00016117095947265625,0,7.557868957519531e-05
28,28,28,0,3.5762786865234375e-06,0,0.00039577484130859375,0,0.0003483295440673828,0,0.00014853477478027344,0,7.462501525878906e-05
32,32,32,0,4.0531158447265625e-06,0,0.0003781318664550781,0,0.0003497600555419922,0,0.0001499652862548828,0,7.224082946777344e-05
36,36,36,0,4.0531158447265625e-06,0,0.00044989585876464844,0,0.00037288665771484375,0,0.00016045570373535156,0,7.62939453125e-05
40,40,40,0,4.5299530029296875e-06,0,0.00037670135498046875,0,0.0003612041473388672,0,0.0001494884490966797,0,7.653236389160156e-05
44,44,44,0,5.0067901611328125e-06,0,0.00039458274841308594,0,0.0003349781036376953,0,0.0001461505889892578,0,7.200241088867188e-05
48,48,48,0,5.0067901611328125e-06,0,0.00041937828063964844,0,0.00034689903259277344,0,0.0001499652862548828,0,9.5367431640625e-05
52,52,52,0,6.198883056640625e-06,0,0.0004119873046875,0,0.000370025634765625,0,0.0001518726348876953,0,7.653236389160156e-05
56,56,56,0,6.4373016357421875e-06,0,0.0004258155822753906,0,0.00035762786865234375,0,0.00015115737915039062,0,7.677078247070312e-05
60,60,60,0,7.152557373046875e-06,0,0.0004076957702636719,0,0.00034928321838378906,0,0.00015020370483398438,0,7.605552673339844e-05
64,64,64,0,7.62939453125e-06,0,0.0004363059997558594,0,0.0003402233123779297,0,0.0001506805419921875,0,8.034706115722656e-05
68,68,68,0,9.059906005859375e-06,0,0.00045800209045410156,0,0.00042057037353515625,0,0.0001609325408935547,0,8.177757263183594e-05
72,72,72,0,9.298324584960938e-06,0,0.0003943443298339844,0,0.0003578662872314453,0,0.0001614093780517578,0,8.58306884765625e-05
76,76,76,0,1.1205673217773438e-05,0,0.0004169940948486328,0,0.00040793418884277344,0,0.00016450881958007812,0,8.440017700195312e-05
80,80,80,0,1.1682510375976562e-05,0,0.00044274330139160156,0,0.0003809928894042969,0,0.00016689300537109375,0,9.036064147949219e-05
84,84,84,0,2.7894973754882812e-05,0,0.0006203651428222656,0,0.00043392181396484375,0,0.00020742416381835938,0,9.584426879882812e-05
88,88,88,0,1.6689300537109375e-05,0,0.0004608631134033203,0,0.00038313865661621094,0,0.0001685619354248047,0,9.107589721679688e-05
92,92,92,0,1.7642974853515625e-05,0,0.0004601478576660156,0,0.0003681182861328125,0,0.00017142295837402344,0,9.131431579589844e-05
96,96,96,0,9.942054748535156e-05,0,0.0004487037658691406,0,0.000400543212890625,0,0.00017070770263671875,0,9.489059448242188e-05
100,100,100,0,1.9550323486328125e-05,0,0.0005755424499511719,0,0.00039505958557128906,0,0.0001785755157470703,0,9.393692016601562e-05
104,104,104,0,0.00011801719665527344,0,0.0004448890686035156,0,0.00038552284240722656,0,0.00017642974853515625,0,0.00011444091796875
108,108,108,0,1.8358230590820312e-05,0,0.0004968643188476562,0,0.0003790855407714844,0,0.0001780986785888672,0,0.0001087188720703125
112,112,112,0,3.170967102050781e-05,0,0.00047206878662109375,0,0.00041413307189941406,0,0.0001800060272216797,0,0.00010371208190917969
116,116,116,0,2.4318695068359375e-05,0,0.0005106925964355469,0,0.00039386749267578125,0,0.00017786026000976562,0,0.00010275840759277344
120,120,120,0,0.00010848045349121094,0,0.0004508495330810547,0,0.0004165172576904297,0,0.00018715858459472656,0,0.00010895729064941406
124,124,124,0,3.4332275390625e-05,0,0.0004858970642089844,0,0.0004086494445800781,0,0.00018787384033203125,0,0.00011014938354492188
128,128,128,0,0.00011944770812988281,0,0.0004851818084716797,0,0.0004150867462158203,0,0.00019431114196777344,0,0.00011014938354492188
132,132,132,0,2.4557113647460938e-05,0,0.0005388259887695312,0,0.00041866302490234375,0,0.00020003318786621094,0,0.00011706352233886719
136,136,136,0,0.00012946128845214844,0,0.0005471706390380859,0,0.0003991127014160156,0,0.00019979476928710938,0,0.00011730194091796875
140,140,140,0,5.7220458984375e-05,0,0.0005137920379638672,0,0.0004191398620605469,0,0.00020623207092285156,0,0.0001246929168701172
144,144,144,0,0.00013303756713867188,0,0.0005600452423095703,0,0.00046896934509277344,0,0.00020885467529296875,0,0.000125885009765625
148,148,148,0,7.939338684082031e-05,0,0.0005593299865722656,0,0.00043082237243652344,0,0.0002071857452392578,0,0.00012493133544921875
152,152,152,0,6.103515625e-05,0,0.0006852149963378906,0,0.0005197525024414062,0,0.00023436546325683594,0,0.00014162063598632812
156,156,156,0,6.103515625e-05,0,0.0006198883056640625,0,0.0005469322204589844,0,0.00024056434631347656,0,0.0001468658447265625
160,160,160,0,8.058547973632812e-05,0,0.0006844997406005859,0,0.0005133152008056641,0,0.00024056434631347656,0,0.00014781951904296875
164,164,164,0,8.869171142578125e-05,0,0.0006961822509765625,0,0.0005712509155273438,0,0.0002455711364746094,0,0.00014734268188476562
168,168,168,0,5.793571472167969e-05,0,0.0006926059722900391,0,0.000530242919921875,0,0.00024080276489257812,0,0.00015020370483398438
172,172,172,0,5.412101745605469e-05,0,0.0006706714630126953,0,0.0005865097045898438,0,0.00025153160095214844,0,0.0001552104949951172
176,176,176,0,5.555152893066406e-05,0,0.000701904296875,0,0.0005426406860351562,0,0.00025153160095214844,0,0.0001583099365234375
180,180,180,0,5.984306335449219e-05,0,0.0007548332214355469,0,0.0005519390106201172,0,0.0002608299255371094,0,0.00016069412231445312
184,184,184,0,0.00044727325439453125,0,0.0007104873657226562,0,0.0005583763122558594,0,0.0002598762512207031,0,0.0001666545867919922
188,188,188,0,6.985664367675781e-05,0,0.0007610321044921875,0,0.0005393028259277344,0,0.00026106834411621094,0,0.0001659393310546875
192,192,192,0,7.104873657226562e-05,0,0.0007407665252685547,0,0.0005528926849365234,0,0.0002586841583251953,0,0.00016832351684570312
